Q1(S),Q2(A),Q3(D),Q4(A),Q5(D),Q6(S),Q7(A),Q8(S),Q9(A),Q10(D),Q11(S),Q12(S),Q13(D),Q14(S),Q15(A),Q16(D),Q17(D),Q18(S),Q19(A),Q20(A),Q21(D),TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,familysize,Str,Anx,Dep,Depression,Anxiety,Stress,family,family_enc,age class,age_enc
0,0,2,0,3,0,0,2,2,2,1,1,2,1,1,2,2,0,1,1,1,4,3,4,5,7,6,5,4,2,6,2,2,3,18,3,10,10,28,4,2,0,Nuclear,2,18-25,0
2,0,2,0,3,1,0,3,3,3,1,1,3,2,2,1,3,2,1,2,3,5,7,7,5,6,5,2,7,2,6,1,2,1,18,3,24,16,36,4,3,2,Nuclear,2,18-25,0
0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,6,2,6,2,5,5,6,5,6,5,2,3,2,36,2,4,4,8,0,0,0,Nuclear,2,36-45,2
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,6,3,5,5,6,5,5,3,5,3,3,3,2,25,2,4,0,4,0,0,0,Nuclear,2,18-25,0
2,0,2,0,2,2,1,2,0,1,1,2,2,2,1,3,1,0,0,0,2,2,6,5,5,6,0,3,5,2,6,0,3,1,18,3,22,4,26,3,0,2,Nuclear,2,18-25,0
1,0,1,0,2,1,0,2,0,1,1,1,2,0,1,1,1,1,1,0,1,5,5,5,7,5,3,7,4,2,2,3,3,2,56,3,14,4,18,2,0,0,Nuclear,2,46-60,3
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,5,2,7,2,5,7,6,2,6,4,3,2,1,43,3,0,2,8,0,0,0,Nuclear,2,36-45,2
3,3,3,3,3,2,0,3,2,3,2,2,3,2,3,3,3,1,3,3,3,5,5,3,7,5,6,7,6,2,6,2,2,2,21,3,30,34,42,4,4,3,Nuclear,2,18-25,0
3,0,0,0,3,1,0,2,2,2,2,0,2,1,0,2,3,0,3,3,0,2,2,3,6,6,6,2,2,2,6,2,3,1,21,4,18,16,24,3,3,1,Nuclear,2,18-25,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,2,6,4,6,4,7,1,4,2,3,2,2,71,1,2,6,0,0,0,0,Nuclear,2,60+,4
0,0,0,1,2,1,0,1,0,1,0,1,1,0,0,1,1,2,1,1,1,6,6,7,6,5,5,6,4,3,2,3,2,2,37,2,10,6,14,2,0,0,Nuclear,2,36-45,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,7,2,7,6,6,1,4,2,2,2,20,4,42,42,42,4,4,4,Nuclear,2,18-25,0
1,0,0,1,1,2,1,2,1,1,1,1,1,2,1,1,1,0,0,1,0,5,2,2,2,6,6,5,5,6,5,3,2,3,26,1,18,10,10,1,2,1,Nuclear,2,26-35,1
2,1,1,1,1,0,0,1,1,1,0,1,0,3,2,1,1,1,1,2,1,5,7,1,4,5,5,6,6,1,1,4,2,1,24,0,16,16,12,1,3,1,Nuclear,2,18-25,0
1,3,0,0,0,3,0,3,3,0,2,0,1,1,1,0,3,1,3,0,2,2,5,7,5,7,7,7,1,5,5,2,2,3,18,4,22,20,12,1,4,2,Nuclear,2,18-25,0
1,2,1,0,1,1,3,2,2,1,2,0,2,1,1,2,2,1,0,0,2,1,4,6,4,2,7,1,4,3,3,2,2,2,23,5,16,16,22,3,3,1,Nuclear,2,18-25,0
